number,definiteConnectedNumber,optionalConnectedNumber,distanceFromRoot,towerHeight,factorCount,primeFactorization,primeNumberSystem
331,662,,24,0,1,"331^1",1000000000000000000000000000000000000000000000000000000000000000000
332,664,,112,2,2,"2^2 * 83^1",10000000000000000000002
333,666,,112,0,2,"3^2 * 37^1",100000000020
334,668,111,68,1,2,"2^1 * 167^1",100000000000000000000000000000000000001
335,670,,68,0,2,"5^1 * 67^1",1000000000000000100
336,672,,11,4,3,"2^4 * 3^1 * 7^1",1014
337,674,,112,0,1,"337^1",10000000000000000000000000000000000000000000000000000000000000000000
338,676,,50,1,2,"2^1 * 13^2",200001
339,678,,50,0,2,"3^1 * 113^1",100000000000000000000000000010
340,680,113,11,2,3,"2^2 * 5^1 * 17^1",1000102
341,682,,11,0,2,"11^1 * 31^1",10000010000
342,684,,125,1,3,"2^1 * 3^2 * 19^1",10000021
343,686,,125,0,1,"7^3",3000
344,688,,32,3,2,"2^3 * 43^1",10000000000003
345,690,,125,0,3,"3^1 * 5^1 * 23^1",100000110
346,692,115,32,1,2,"2^1 * 173^1",1000000000000000000000000000000000000001
347,694,,125,0,1,"347^1",100000000000000000000000000000000000000000000000000000000000000000000
348,696,,32,2,3,"2^2 * 3^1 * 29^1",1000000012
349,698,,32,0,1,"349^1",1000000000000000000000000000000000000000000000000000000000000000000000
350,700,,81,1,3,"2^1 * 5^2 * 7^1",1201
351,702,,81,0,2,"3^3 * 13^1",100030
352,704,117,19,5,2,"2^5 * 11^1",10005
353,706,,125,0,1,"353^1",10000000000000000000000000000000000000000000000000000000000000000000000
354,708,,32,1,3,"2^1 * 3^1 * 59^1",10000000000000011
355,710,,32,0,2,"5^1 * 71^1",10000000000000000100
356,712,,32,2,2,"2^2 * 89^1",100000000000000000000002
357,714,,32,0,3,"3^1 * 7^1 * 17^1",1001010
358,716,119,32,1,2,"2^1 * 179^1",10000000000000000000000000000000000000001
359,718,,50,0,1,"359^1",100000000000000000000000000000000000000000000000000000000000000000000000
360,720,,19,3,3,"2^3 * 3^2 * 5^1",123
361,722,,45,0,1,"19^2",20000000
362,724,,19,1,2,"2^1 * 181^1",100000000000000000000000000000000000000001
363,726,,45,0,2,"3^1 * 11^2",20010
364,728,121,94,2,3,"2^2 * 7^1 * 13^1",101002
365,730,,94,0,2,"5^1 * 73^1",100000000000000000100
366,732,,94,1,3,"2^1 * 3^1 * 61^1",100000000000000011
367,734,,45,0,1,"367^1",1000000000000000000000000000000000000000000000000000000000000000000000000
368,736,,19,4,2,"2^4 * 23^1",100000004
369,738,,19,0,2,"3^2 * 41^1",1000000000020
370,740,123,45,1,3,"2^1 * 5^1 * 37^1",100000000101
371,742,,45,0,2,"7^1 * 53^1",1000000000001000
372,744,,19,2,3,"2^2 * 3^1 * 31^1",10000000012
373,746,,19,0,1,"373^1",10000000000000000000000000000000000000000000000000000000000000000000000000
374,748,,45,1,3,"2^1 * 11^1 * 17^1",1010001
375,750,,45,0,2,"3^1 * 5^3",310
376,752,125,107,3,2,"2^3 * 47^1",100000000000003
377,754,,63,0,2,"13^1 * 29^1",1000100000
378,756,,107,1,3,"2^1 * 3^3 * 7^1",1031
379,758,,58,0,1,"379^1",100000000000000000000000000000000000000000000000000000000000000000000000000
380,760,,107,2,3,"2^2 * 5^1 * 19^1",10000102
381,762,,107,0,2,"3^1 * 127^1",1000000000000000000000000000010
382,764,127,45,1,2,"2^1 * 191^1",1000000000000000000000000000000000000000001
383,766,,45,0,1,"383^1",1000000000000000000000000000000000000000000000000000000000000000000000000000
384,768,,14,7,2,"2^7 * 3^1",17
385,770,,32,0,3,"5^1 * 7^1 * 11^1",11100
386,772,,120,1,2,"2^1 * 193^1",10000000000000000000000000000000000000000001
387,774,,120,0,2,"3^2 * 43^1",10000000000020
388,776,129,120,2,2,"2^2 * 97^1",1000000000000000000000002
389,778,,120,0,1,"389^1",10000000000000000000000000000000000000000000000000000000000000000000000000000
390,780,,120,1,4,"2^1 * 3^1 * 5^1 * 13^1",100111
391,782,,120,0,2,"17^1 * 23^1",101000000
392,784,,27,3,2,"2^3 * 7^2",2003
393,786,,58,0,2,"3^1 * 131^1",10000000000000000000000000000010
394,788,131,27,1,2,"2^1 * 197^1",100000000000000000000000000000000000000000001
395,790,,76,0,2,"5^1 * 79^1",1000000000000000000100
396,792,,27,2,3,"2^2 * 3^2 * 11^1",10022
397,794,,27,0,1,"397^1",100000000000000000000000000000000000000000000000000000000000000000000000000000
398,796,,120,1,2,"2^1 * 199^1",1000000000000000000000000000000000000000000001
399,798,,120,0,3,"3^1 * 7^1 * 19^1",10001010
400,800,133,27,4,2,"2^4 * 5^2",204
401,802,,19,0,1,"401^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000
402,804,,19,1,3,"2^1 * 3^1 * 67^1",1000000000000000011
403,806,,19,0,2,"13^1 * 31^1",10000100000
404,808,,27,2,2,"2^2 * 101^1",10000000000000000000000002
405,810,,27,0,2,"3^4 * 5^1",140
406,812,135,40,1,3,"2^1 * 7^1 * 29^1",1000001001
407,814,,40,0,2,"11^1 * 37^1",100000010000
408,816,,27,3,3,"2^3 * 3^1 * 17^1",1000013
409,818,,40,0,1,"409^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000
410,820,,27,1,3,"2^1 * 5^1 * 41^1",1000000000101
411,822,,133,0,2,"3^1 * 137^1",100000000000000000000000000000010
412,824,137,89,2,2,"2^2 * 103^1",100000000000000000000000002
413,826,,89,0,2,"7^1 * 59^1",10000000000001000
414,828,,89,1,3,"2^1 * 3^2 * 23^1",100000021
415,830,,133,0,2,"5^1 * 83^1",10000000000000000000100
416,832,,14,5,2,"2^5 * 13^1",100005
417,834,,133,0,2,"3^1 * 139^1",1000000000000000000000000000000010
418,836,139,40,1,3,"2^1 * 11^1 * 19^1",10010001
419,838,,40,0,1,"419^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000
420,840,,40,2,4,"2^2 * 3^1 * 5^1 * 7^1",1112
421,842,,40,0,1,"421^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000
422,844,,40,1,2,"2^1 * 211^1",10000000000000000000000000000000000000000000001
423,846,,32,0,2,"3^2 * 47^1",100000000000020
424,848,141,14,3,2,"2^3 * 53^1",1000000000000003
425,850,,58,0,2,"5^2 * 17^1",1000200
426,852,,14,1,3,"2^1 * 3^1 * 71^1",10000000000000000011
427,854,,53,0,2,"7^1 * 61^1",100000000000001000
428,856,,102,2,2,"2^2 * 107^1",1000000000000000000000000002
429,858,,102,0,3,"3^1 * 11^1 * 13^1",110010
430,860,143,102,1,3,"2^1 * 5^1 * 43^1",10000000000101
431,862,,40,0,1,"431^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000
432,864,,115,4,2,"2^4 * 3^3",34
433,866,,27,0,1,"433^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000
434,868,,27,1,3,"2^1 * 7^1 * 31^1",10000001001
435,870,,27,0,3,"3^1 * 5^1 * 29^1",1000000110
436,872,145,115,2,2,"2^2 * 109^1",10000000000000000000000000002
437,874,,115,0,2,"19^1 * 23^1",110000000
438,876,,53,1,3,"2^1 * 3^1 * 73^1",100000000000000000011
439,878,,53,0,1,"439^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000
440,880,,115,3,3,"2^3 * 5^1 * 11^1",10103
441,882,,27,0,2,"3^2 * 7^2",2020
442,884,147,115,1,3,"2^1 * 13^1 * 17^1",1100001
443,886,,53,0,1,"443^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000
444,888,,71,2,3,"2^2 * 3^1 * 37^1",100000000012
445,890,,71,0,2,"5^1 * 89^1",100000000000000000000100
446,892,,71,1,2,"2^1 * 223^1",100000000000000000000000000000000000000000000001
447,894,,97,0,2,"3^1 * 149^1",10000000000000000000000000000000010
448,896,149,22,6,2,"2^6 * 7^1",1006
449,898,,115,0,1,"449^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000
450,900,,53,1,3,"2^1 * 3^2 * 5^2",221
451,902,,53,0,2,"11^1 * 41^1",1000000010000
452,904,,14,2,2,"2^2 * 113^1",100000000000000000000000000002
453,906,,14,0,2,"3^1 * 151^1",100000000000000000000000000000000010
454,908,151,14,1,2,"2^1 * 227^1",1000000000000000000000000000000000000000000000001
455,910,,40,0,3,"5^1 * 7^1 * 13^1",101100
456,912,,35,3,3,"2^3 * 3^1 * 19^1",10000013
457,914,,128,0,1,"457^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
458,916,,35,1,2,"2^1 * 229^1",10000000000000000000000000000000000000000000000001
459,918,,128,0,2,"3^3 * 17^1",1000030
460,920,153,35,2,3,"2^2 * 5^1 * 23^1",100000102
461,922,,35,0,1,"461^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
462,924,,128,1,4,"2^1 * 3^1 * 7^1 * 11^1",11011
463,926,,128,0,1,"463^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
464,928,,22,4,2,"2^4 * 29^1",1000000004
465,930,,35,0,3,"3^1 * 5^1 * 31^1",10000000110
